record_id,user_id,expense_date,category,amount,merchant,description
EXP-0001,1,2026-05-22,娱乐,27.25,游乐场,周末消费
EXP-0002,1,2026-02-17,娱乐,171.21,电影院,
EXP-0003,1,2026-01-07,购物,299.21,商场,
EXP-0004,1,2026-03-30,学习,230.54,书店,临时支出
EXP-0005,1,2026-02-13,医疗,157.20,医院,临时支出
EXP-0006,1,2026-02-09,住房,487.29,家居店,计划内支出
EXP-0007,1,2026-06-18,餐饮,154.42,便利店,日常消费
EXP-0008,1,2026-03-10,学习,209.02,在线课程,周末消费
EXP-0009,1,2026-01-14,学习,59.13,在线课程,
EXP-0010,1,2026-04-12,学习,387.62,书店,日常消费
EXP-0011,1,2026-02-28,购物,417.60,淘宝,
EXP-0012,1,2026-01-27,医疗,351.29,药店,日常消费
EXP-0013,1,2026-03-12,学习,292.81,文具店,临时支出
EXP-0014,1,2026-05-23,住房,197.08,家居店,日常消费
EXP-0015,1,2026-05-30,医疗,224.86,药店,日常消费
EXP-0016,1,2026-01-12,医疗,112.75,体检中心,日常消费
EXP-0017,1,2026-03-28,住房,156.00,水电燃气,临时支出
EXP-0018,1,2026-02-17,交通,56.21,地铁,日常消费
EXP-0019,1,2026-06-19,娱乐,31.08,电影院,周末消费
EXP-0020,1,2026-03-16,学习,290.37,文具店,日常消费
EXP-0021,1,2026-03-07,住房,180.76,物业,日常消费
EXP-0022,1,2026-04-21,学习,231.55,书店,临时支出
EXP-0023,1,2026-03-27,交通,35.03,共享单车,临时支出
EXP-0024,1,2026-03-22,学习,63.35,文具店,临时支出
EXP-0025,1,2026-05-01,住房,556.80,家居店,计划内支出
EXP-0026,1,2026-03-19,医疗,225.03,体检中心,计划内支出
EXP-0027,1,2026-04-20,购物,398.63,淘宝,日常消费
EXP-0028,1,2026-03-13,学习,112.02,在线课程,
EXP-0029,1,2026-03-16,医疗,58.87,体检中心,
EXP-0030,1,2026-06-10,娱乐,30.67,游乐场,
EXP-0031,1,2026-03-22,医疗,28.38,医院,周末消费
EXP-0032,1,2026-04-16,餐饮,114.49,便利店,日常消费
EXP-0033,1,2026-04-18,餐饮,88.32,便利店,
EXP-0034,1,2026-05-01,医疗,445.29,体检中心,日常消费
EXP-0035,1,2026-02-10,医疗,293.36,体检中心,
EXP-0036,1,2026-06-20,娱乐,155.75,电影院,临时支出
EXP-0037,1,2026-05-24,餐饮,136.26,美团外卖,日常消费
EXP-0038,1,2026-04-16,交通,53.78,共享单车,
EXP-0039,1,2026-02-07,住房,833.20,物业,日常消费
EXP-0040,1,2026-04-07,餐饮,93.68,便利店,临时支出
EXP-0041,1,2026-01-03,住房,745.13,水电燃气,周末消费
EXP-0042,1,2026-01-09,交通,82.71,滴滴出行,日常消费
EXP-0043,1,2026-02-05,医疗,26.02,药店,周末消费
EXP-0044,1,2026-03-16,娱乐,136.38,视频会员,周末消费
EXP-0045,1,2026-03-05,购物,188.26,京东,
EXP-0046,1,2026-03-30,住房,524.48,家居店,临时支出
EXP-0047,1,2026-02-03,购物,356.78,商场,临时支出
EXP-0048,1,2026-02-14,购物,142.38,京东,临时支出
EXP-0049,1,2026-01-09,餐饮,47.98,盒马,周末消费
EXP-0050,1,2026-04-03,住房,846.80,水电燃气,计划内支出
EXP-0051,1,2026-03-27,医疗,279.80,医院,日常消费
EXP-0052,1,2026-06-05,餐饮,153.44,盒马,临时支出
EXP-0053,1,2026-02-16,医疗,412.88,医院,周末消费
EXP-0054,1,2026-04-02,住房,168.39,家居店,计划内支出
EXP-0055,1,2026-02-16,购物,457.62,商场,
EXP-0056,1,2026-06-18,住房,96.94,物业,临时支出
EXP-0057,1,2026-03-07,交通,19.45,滴滴出行,周末消费
EXP-0058,1,2026-03-20,交通,18.39,地铁,日常消费
EXP-0059,1,2026-04-26,交通,20.83,地铁,计划内支出
EXP-0060,1,2026-05-05,学习,170.63,书店,周末消费
EXP-0061,1,2026-03-01,住房,1014.42,物业,周末消费
EXP-0062,1,2026-05-01,娱乐,40.75,电影院,周末消费
EXP-0063,1,2026-05-25,学习,146.58,在线课程,临时支出
EXP-0064,1,2026-01-25,医疗,280.48,体检中心,计划内支出
EXP-0065,1,2026-06-17,餐饮,37.93,便利店,
EXP-0066,1,2026-02-19,医疗,37.37,药店,计划内支出
EXP-0067,1,2026-05-04,购物,234.87,淘宝,计划内支出
EXP-0068,1,2026-01-07,娱乐,198.45,游乐场,计划内支出
EXP-0069,1,2026-05-26,医疗,340.09,药店,周末消费
EXP-0070,1,2026-03-21,医疗,123.50,体检中心,周末消费
EXP-0071,1,2026-06-06,交通,78.96,地铁,临时支出
EXP-0072,1,2026-04-13,住房,585.92,物业,临时支出
EXP-0073,1,2026-06-18,住房,828.77,家居店,计划内支出
EXP-0074,1,2026-06-20,交通,83.56,共享单车,
EXP-0075,1,2026-01-17,医疗,398.18,医院,日常消费
EXP-0076,1,2026-03-24,餐饮,159.29,便利店,计划内支出
EXP-0077,1,2026-01-07,学习,359.64,在线课程,
EXP-0078,1,2026-03-11,医疗,318.06,药店,周末消费
EXP-0079,1,2026-04-30,购物,555.11,京东,临时支出
EXP-0080,1,2026-05-12,学习,165.40,书店,日常消费
EXP-0081,1,2026-06-18,其他,188.50,商场,类别缺失测试
EXP-0082,1,2026-06-20,学习,1299.00,在线课程,金额格式测试
